title,story_points,closed_at
"Defect #8810",2,""
"Audio Mapping Feature 1",5,"2025-03-16"
"Sesor Collaboration Feature 2",8,"2025-03-14"
"NAS Dropdown",3,"2025-03-12"
"Defect #8811",3,"2025-03-12"
